mean,std,2.5q,25q,50q,75q,97.5q,mc err
0.390818982,0.094546304,0.201706591,0.327690933,0.392486207,0.455159885,0.575510499,0.00236323
0.233372685,0.094703268,0.049180008,0.169566858,0.233681733,0.294750733,0.42459889,0.002358056
0.321044196,0.033967755,0.255635393,0.297880452,0.320942689,0.343240395,0.388119739,0.000903437
-0.060898027,0.040968703,-0.140277479,-0.088029234,-0.061224938,-0.034274522,0.019602775,0.000925139
0.497756353,0.024363243,0.449438439,0.482184589,0.497499858,0.51461327,0.54413481,0.000579039
0.186143566,0.036201263,0.116266332,0.161147827,0.185390233,0.210840351,0.261466217,0.000891472
1.570711312,0.036901957,1.5006027,1.546209978,1.57015604,1.593667653,1.649162064,0.000764441
0.166483326,0.029824,0.118396206,0.145457125,0.163044321,0.183546019,0.23706843,0.00068181
1.525866008,0.045768267,1.439509885,1.494656808,1.525175356,1.556787633,1.617969099,0.000943637
1.419359387,0.038688479,1.343995294,1.392038956,1.418734537,1.44549359,1.497498315,0.000917946
1.47515621,0.042539977,1.391881169,1.44529487,1.474299795,1.504685923,1.560665341,0.000943114
1.552181044,0.049560026,1.460311238,1.517913935,1.550690792,1.584993535,1.650952661,0.001093949
1.361559945,0.036250859,1.291067263,1.337359148,1.360109676,1.385148792,1.432635217,0.000776989
1.57022635,0.04379996,1.486498046,1.540384919,1.569835612,1.599218145,1.658967036,0.001002526
1.403710953,0.039714193,1.329738049,1.375659396,1.402519696,1.430116132,1.48551363,0.000799481
1.75487146,0.050037728,1.662146624,1.718923726,1.753570598,1.789229948,1.858055755,0.001153805
1.437960317,0.040488606,1.361024728,1.410955674,1.438563906,1.466678768,1.517130932,0.000849617
1.478141157,0.043622573,1.393234253,1.448163919,1.477400806,1.507367022,1.561695192,0.001002411
1.599195576,0.046620621,1.513241153,1.566338979,1.59796164,1.629189891,1.693792736,0.000842029
1.637202964,0.042979329,1.554474662,1.609997822,1.636971034,1.665001561,1.724723045,0.00104855
1.779745089,0.04865765,1.686725033,1.746859841,1.778810894,1.812549159,1.877084491,0.001076537
1.706215573,0.045878437,1.617327866,1.673833288,1.705754943,1.736975439,1.797569332,0.000941827
1.401103721,0.035949012,1.330945116,1.376568904,1.401051292,1.424932399,1.473378191,0.000858643
1.545376578,0.047723296,1.454454822,1.512270415,1.543426264,1.576536624,1.641506222,0.001016553
1.777562757,0.048909572,1.68517729,1.743500598,1.777485466,1.809602175,1.874858378,0.00113391
2.003640623,0.069368621,1.871077587,1.956240693,2.003225605,2.050794342,2.141957407,0.001485304
1.672089759,0.050304019,1.578518445,1.636804053,1.671591608,1.705455962,1.773045482,0.001163182
1.563616683,0.043704677,1.478720511,1.534552659,1.562468448,1.591394598,1.656178613,0.000956083
1.474210981,0.043847852,1.393718098,1.443863077,1.473232671,1.505012657,1.561364909,0.000875076
1.49952319,0.04245507,1.417005585,1.471058248,1.4986177,1.527952809,1.586177026,0.000976609
1.459699756,0.039128723,1.383224035,1.433843731,1.459516056,1.484943196,1.537842277,0.000871151
-0.09838544,0.016033353,-0.130541677,-0.109179238,-0.098249188,-0.087606403,-0.066691106,0.000342411
