response,rt,Post_Coherence,Pre_Coherence,Accuracy_initial,World_state,Decision_Initial,Confidence_Initial,subj_idx
0,0.74808,2,2,-1,1,1,0.332,1
1,0.61464,2,1,1,-1,1,0,1
1,0.66463,1,1,1,-1,1,0,1
1,0.73126,2,1,1,-1,1,0,1
1,0.68126,1,1,1,-1,1,0,1
1,0.96455,1,1,1,1,-1,0,1
0,0.99808,2,2,-1,1,1,0.332,1
1,0.53133,2,2,1,-1,1,1,1
0,0.68143,2,2,-1,1,1,-0.332,1
1,0.53133,2,2,1,-1,1,1,1
1,0.56443,2,1,1,-1,1,-0.332,1
1,0.79788,1,2,-1,1,1,0.332,1
1,0.69816,1,1,-1,1,1,-0.668,1
0,0.66455,1,2,1,-1,1,-1,1
1,0.53123,2,1,1,-1,1,-0.668,1
1,0.58111,1,1,1,1,-1,0,1
1,0.56494,2,2,1,-1,1,0.332,1
1,0.63143,1,1,1,1,-1,0,1
1,0.68131,1,1,-1,1,1,-0.668,1
1,0.64792,1,1,1,-1,1,0.332,1
1,0.63161,2,2,1,1,-1,0.668,1
1,0.56462,2,1,1,-1,1,0.332,1
0,1.198,2,1,-1,-1,-1,0,1
0,0.63127,1,2,-1,1,1,-0.332,1
0,0.63132,2,1,-1,-1,-1,0.332,1
1,0.66462,1,1,1,-1,1,-0.332,1
1,0.63127,1,1,1,1,-1,0.332,1
1,0.48126,2,2,1,-1,1,0,1
1,0.5754,2,2,1,1,-1,0,1
1,0.66491,1,2,1,1,-1,-0.332,1
1,0.49793,2,2,1,-1,1,0,1
1,0.73102,1,1,1,1,-1,0.332,1
1,0.5649,1,2,1,1,-1,0.332,1
1,0.49823,2,2,1,-1,1,-0.668,1
1,0.64776,2,1,1,1,-1,0,1
1,0.53134,1,2,1,-1,1,-1,1
1,0.63115,2,1,1,1,-1,0.332,1
1,0.59803,2,1,-1,-1,-1,-1,1
0,0.69777,1,2,-1,-1,-1,-0.332,1
1,0.63131,1,1,1,1,-1,0.332,1
1,0.56466,1,2,1,-1,1,0,1
1,0.69779,2,2,1,1,-1,0.332,1
1,0.51447,1,2,1,-1,1,0,1
1,0.53153,2,1,1,1,-1,-0.332,1
1,0.46477,2,2,1,-1,1,0,1
0,0.99803,2,2,-1,-1,-1,0,1
1,0.49812,1,1,1,1,-1,0,1
1,0.68135,2,2,1,1,-1,0,1
1,0.66452,1,2,1,1,-1,0,1
1,0.53125,2,2,-1,-1,-1,-0.332,1
0,1.0315,2,1,1,-1,1,-0.332,1
1,0.63148,1,2,1,-1,1,0,1
1,0.89806,1,1,1,-1,1,-0.668,1
1,0.99754,1,2,-1,-1,-1,-0.332,1
1,0.7646,2,1,1,-1,1,-0.668,1
1,0.59791,1,2,1,1,-1,0.332,1
1,0.63135,2,1,1,-1,1,-0.332,1
0,0.84789,2,1,-1,-1,-1,-0.332,1
1,0.68155,1,2,-1,1,1,-0.332,1
0,0.86486,2,1,1,-1,1,-0.668,1
1,0.63138,1,1,1,1,-1,-0.332,1
1,0.59821,2,2,1,1,-1,1,1
1,0.69762,1,1,1,1,-1,-1,1
0,1.3979,1,2,1,-1,1,-0.668,1
0,0.66442,1,2,-1,-1,-1,1,1
1,0.56466,2,1,1,-1,1,-0.332,1
0,0.66463,2,2,-1,-1,-1,0.668,1
1,0.69789,1,1,1,1,-1,0,1
1,0.66473,2,1,1,1,-1,0.332,1
1,0.63136,2,1,1,1,-1,0.332,1
1,0.63129,1,2,1,-1,1,0,1
0,0.78152,2,2,-1,-1,-1,-0.668,1
0,0.69793,1,2,-1,-1,-1,0.332,1
1,0.66486,1,1,-1,-1,-1,-0.668,1
0,0.6979,1,1,-1,-1,-1,0.332,1
1,0.66463,2,2,-1,-1,-1,-0.332,1
1,0.66466,1,1,1,1,-1,0,1
1,0.63132,2,1,1,-1,1,0,1
1,0.68146,2,2,1,1,-1,0,1
1,0.36429,1,2,1,1,-1,1,1
0,0.63139,2,2,-1,-1,-1,0,1
1,0.76458,1,1,-1,-1,-1,-0.332,1
1,0.5646,1,2,1,1,-1,0.332,1
1,0.66469,2,1,-1,-1,-1,0,1
1,0.53152,2,1,1,-1,1,-0.668,1
1,0.69794,1,1,1,1,-1,-0.668,1
1,0.59794,2,1,1,1,-1,-0.332,1
